id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
64,68,68,Northwest Highway,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=230,,
65,69,69,Cumberland/East River,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=231,,
66,70,70,Division,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=232,,
67,71,71,71st South Shore,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=233,,
68,72,72,North,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=234,,
69,73,73,Armitage,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=235,,
70,74,74,Fullerton,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=236,,
71,75,75,74th-75th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=237,,
72,76,76,Diversey,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=238,,
73,77,77,Belmont,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=239,,
74,78,78,Montrose,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=240,,
75,79,79,79th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=241,,
76,80,80,Irving Park,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=242,,
77,81,81,Lawrence,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=244,,
78,81W,81W,West Lawrence,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=245,,
79,82,82,Kimball-Homan,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=246,,
80,84,84,Peterson,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=247,,
81,85,85,Central,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=248,,
82,85A,85A,North Central,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=249,,
83,86,86,Narragansett/Ridgeland,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=250,,
84,87,87,87th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=251,,
85,88,88,Higgins,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=252,,
86,90,90,Harlem,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=253,,
87,90N,90N,North Harlem,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=254,,
88,91,91,Austin,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=255,,
89,92,92,Foster,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=256,,
90,93,93,California/Dodge,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=257,,
91,94,94,South California,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=258,,
92,95E,95E,93rd-95th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=259,,
93,95W,95W,West 95th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=260,,
94,96,96,Lunt,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=261,,
95,97,97,Skokie,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=262,,
96,X98,X98,Avon Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=263,,
97,100,100,Jeffery Manor Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=264,,
98,103,103,West 103rd,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=265,,
99,106,106,East 103rd,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=266,,
100,108,108,Halsted/95th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=267,,
101,111,111,Pullman/111th/115th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=268,,
102,112,112,Vincennes/111th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=269,,
103,119,119,Michigan/119th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=270,,
104,120,120,Ogilvie/Wacker Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=271,,
105,121,121,Union/Wacker Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=272,,
106,122,122,Illinois Center/Ogilvie Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=273,,
107,123,123,Illinois Center/Union Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=274,,
108,124,124,Navy Pier,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=275,,
109,125,125,Water Tower Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=276,,
110,126,126,Jackson,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=277,,
111,129,129,West Loop/South Loop,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=278,,
112,132,132,Goose Island Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=279,,
113,134,134,Stockton/LaSalle Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=280,,
114,135,135,Clarendon/LaSalle Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=281,,
115,136,136,Sheridan/LaSalle Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=282,,
116,143,143,Stockton/Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=283,,
117,144,144,Marine/Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=284,,
118,145,145,Wilson/Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=285,,
119,146,146,Inner Drive/Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=286,,
120,147,147,Outer Drive Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=287,,
121,148,148,Clarendon Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=288,,
122,151,151,Sheridan,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=289,,
123,152,152,Addison,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=290,,
