"id","station_id_id","stop_id_id","station_name","stop_desc","run_number","route_id","destination_id","destination_name","route_direction_code","prediction_generated","expected_arrival","is_approaching","is_scheduled","is_fit","degree","is_delayed","time_scraped"
74654,30109,30109,"Jackson","Service toward Howard",835,"Red",30109,"Howard",1,"2012-11-01 02:03:23-05","2012-11-01 02:04:23-05",1,0,0,0,0,"2012-11-21 00:00:00-06"
74655,30109,30109,"Jackson","Service toward Howard",836,"Red",30109,"Howard",1,"2012-11-01 02:03:49-05","2012-11-01 02:19:49-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74656,30228,30228,"Jarvis","Service toward 95th",937,"Red",30228,"95th/Dan Ryan",5,"2012-11-01 02:04:01-05","2012-11-01 02:17:01-05",0,1,0,0,0,"2012-11-21 00:00:00-06"
74657,30227,30227,"Jarvis","Service toward Howard",938,"Red",30227,"Howard",1,"2012-11-01 02:04:00-05","2012-11-01 02:09:00-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74658,30227,30227,"Jarvis","Service toward Howard",834,"Red",30227,"Howard",1,"2012-11-01 02:03:47-05","2012-11-01 02:20:47-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74659,30290,30290,"Lake","Service toward 95th",840,"Red",30290,"95th/Dan Ryan",5,"2012-11-01 02:03:54-05","2012-11-01 02:08:54-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74660,30290,30290,"Lake","Service toward 95th",935,"Red",30290,"95th/Dan Ryan",5,"2012-11-01 02:03:45-05","2012-11-01 02:19:45-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74661,30289,30289,"Lake","Service toward Howard",835,"Red",30289,"Howard",1,"2012-11-01 02:03:23-05","2012-11-01 02:06:23-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74662,30289,30289,"Lake","Service toward Howard",836,"Red",30289,"Howard",1,"2012-11-01 02:03:49-05","2012-11-01 02:21:49-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74663,30252,30252,"Loyola","Service toward 95th",936,"Red",30252,"95th/Dan Ryan",5,"2012-11-01 02:03:41-05","2012-11-01 02:05:41-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74664,30251,30251,"Loyola","Service toward Howard",938,"Red",30251,"Howard",1,"2012-11-01 02:04:00-05","2012-11-01 02:05:00-05",1,0,0,0,0,"2012-11-21 00:00:00-06"
74665,30251,30251,"Loyola","Service toward Howard",834,"Red",30251,"Howard",1,"2012-11-01 02:03:47-05","2012-11-01 02:15:47-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74666,30212,30212,"Monroe","Service toward 95th",840,"Red",30212,"95th/Dan Ryan",5,"2012-11-01 02:03:54-05","2012-11-01 02:09:54-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74667,30212,30212,"Monroe","Service toward 95th",935,"Red",30212,"95th/Dan Ryan",5,"2012-11-01 02:03:45-05","2012-11-01 02:20:45-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74668,30211,30211,"Monroe","Service toward Howard",835,"Red",30211,"Howard",1,"2012-11-01 02:03:23-05","2012-11-01 02:05:23-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74669,30211,30211,"Monroe","Service toward Howard",836,"Red",30211,"Howard",1,"2012-11-01 02:03:49-05","2012-11-01 02:20:49-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74670,30021,30021,"Morse","Service toward 95th",937,"Red",30021,"95th/Dan Ryan",5,"2012-11-01 02:04:00-05","2012-11-01 02:18:00-05",0,1,0,0,0,"2012-11-21 00:00:00-06"
74671,30020,30020,"Morse","Service toward Howard",938,"Red",30020,"Howard",1,"2012-11-01 02:04:00-05","2012-11-01 02:08:00-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74672,30020,30020,"Morse","Service toward Howard",834,"Red",30020,"Howard",1,"2012-11-01 02:03:47-05","2012-11-01 02:18:47-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74673,30126,30126,"North/Clybourn","Service toward 95th",935,"Red",30126,"95th/Dan Ryan",5,"2012-11-01 02:03:45-05","2012-11-01 02:12:45-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74674,30125,30125,"North/Clybourn","Service toward Howard",835,"Red",30125,"Howard",1,"2012-11-01 02:03:23-05","2012-11-01 02:12:23-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74675,30269,30269,"Roosevelt","Subway service toward Howard",836,"Red",30269,"Howard",1,"2012-11-01 02:03:49-05","2012-11-01 02:16:49-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74676,30270,30270,"Roosevelt","Subway service toward 95th",840,"Red",30270,"95th/Dan Ryan",5,"2012-11-01 02:03:54-05","2012-11-01 02:13:54-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74677,30017,30017,"Sheridan","Service toward 95th",936,"Red",30017,"95th/Dan Ryan",5,"2012-11-01 02:03:41-05","2012-11-01 02:16:41-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
